use	name	type	size	buckets	weight_fc	mean	stddev	normalize
TRUE	residentCityType	Cat	1	10.0	""	""	""	FALSE
TRUE	lastClickedArticleId	Cat	1	45.0	""	""	""	FALSE
TRUE	dayOfMonth	Cat	1	9.0	""	""	""	FALSE
TRUE	feedClickByCatLast7d	Num	36	1.0	""	2.2788754122077515E-10,7.173509111814872E-10,9.27525473096104E-10,-2.4524513435640813E-9,-4.37575623507151E-12,-2.9781472041523517E-10,6.021696046746976E-10,-9.589110903749259E-11,-3.024216824946759E-9,2.2798586131406173E-9,-1.6314102867786722E-9,0.0,2.235416565418237E-9,-2.9564305828530743E-12,6.526678970321603E-10,-1.0327877160249726E-10,1.6454960056988242E-11,1.895768437602934E-10,-4.214163065084481E-9,4.4339630958540104E-11,-1.9435151329052237E-9,-3.2891382679721415E-9,1.8528899524751804E-10,0.0,2.997192454861464E-10,-5.738402743234729E-10,-7.322218252910808E-10,-4.844135407249659E-9,-6.324405861737255E-10,-2.873554937553604E-9,2.2555721845419835E-9,-8.994069505837837E-10,9.233827149987689E-10,-1.0054048872662377E-9,1.3281405934793996E-10,-2.7841997249951786E-11	1.0000000084118323,1.0000000113471643,0.9999999787928096,1.0000000028754361,0.9999999728965351,0.9999999989243779,1.0000000392821118,0.9999999909658612,1.0000000096725248,0.9999999872155869,1.0000000034891536,1.0,0.9999999746656132,0.9999999575490867,0.9999999978886644,0.999999976030546,1.0000000086937761,0.9999999657735299,1.0000000437371053,1.0000000599495051,0.9999999790255663,0.9999999946226065,1.0000000081775944,1.0,1.0000000259236126,1.0000000265053208,0.999999969457887,0.9999999946451086,0.9999999851684752,0.9999999594994755,1.0000000274422287,1.0000000446346515,1.0000000512088196,1.00000000930837,0.9999999820930754,0.9999999871561618	TRUE
TRUE	pushCtrLast7d	Num	1	1.0	""	-1.952308810960088E-9	0.9999999931653114	TRUE
TRUE	pushSourceCtr7day	Num	1	1.0	""	4.1156463079357266E-8	1.0000000059961218	TRUE
TRUE	weekOfMonth	Cat	1	4.0	""	""	""	FALSE
TRUE	pushClickedDayNumLast7d	Num	1	1.0	""	-9.995424406393707E-9	0.9999999682724965	TRUE
TRUE	receivedPushAvgCountInLast7Days	Num	1	1.0	""	3.3696397639543275E-9	0.9999999647384015	TRUE
TRUE	hotTopicRelevancy	Num	1	1.0	""	0.0	1.0	TRUE
TRUE	age	Cat	1	12.0	""	""	""	FALSE
TRUE	pushAllUserExposeNumLast30d	Num	1	1.0	""	3.8039612285506865E-6	1.00000002448717	TRUE
TRUE	politicalSensitive	Num	1	1.0	""	-1.1468369875100635E-8	1.000000003873591	TRUE
TRUE	upCount	Num	1	1.0	""	5.272858557132101E-9	1.0000000035569863	TRUE
TRUE	lastVersion	Cat	1	140.0	""	""	""	FALSE
TRUE	freshness	Num	1	1.0	""	-9.054322657344361E-10	0.9999999707053918	TRUE
TRUE	residentCountry	Cat	1	5.0	""	""	""	FALSE
TRUE	sex	Cat	1	6.0	""	""	""	FALSE
TRUE	source	Cat	1	146.0	""	""	""	FALSE
TRUE	residentProvince	Cat	1	35.0	""	""	""	FALSE
TRUE	pushClickedNumByHourLast30d	Num	24	1.0	""	5.997454820427464E-10,2.4944408775604087E-11,-1.642972001413097E-9,-3.4326993414066156E-9,-4.6089973637001074E-10,-1.947535314972749E-9,3.3119680830300464E-9,-1.4612353085574295E-9,-3.2350314968096837E-9,-3.011531513596144E-9,-2.2751476141339693E-10,6.758519208982782E-9,-9.42599542744379E-9,-3.2894309416611296E-9,-4.05943660915557E-9,-2.8400397029596323E-9,2.1815441000879065E-9,-5.704439992367001E-9,-5.241108995891898E-9,-7.600934840265078E-9,-2.163245668770631E-9,-8.714563934323356E-9,4.455420101206383E-9,-3.478669351551589E-9	0.9999999816264921,1.0000000092599983,1.0000000190779368,1.0000000162789708,0.9999999614784142,0.9999999891634654,0.9999999855758198,1.0000000300891996,0.9999999588720152,1.0000000038369583,0.9999999617473354,0.9999999785932673,0.9999999954391628,0.9999999833489581,1.000000014229952,1.000000041459665,1.0000000340491026,0.999999990888459,0.9999999789466322,1.0000000119066441,0.9999999744858029,1.0000000116407644,0.9999999836644171,0.9999999717358709	TRUE
TRUE	gapDays	Num	1	1.0	""	5.943844626499736E-9	0.9999999797631137	TRUE
TRUE	osVersion	Cat	1	18.0	""	""	""	FALSE
TRUE	commentCount	Num	1	1.0	""	-3.1622463352432306E-9	1.0000000069026074	TRUE
TRUE	clickBaitScore	Num	1	1.0	""	6.632644108601242E-8	1.0000000005895768	TRUE
TRUE	imgNum	Num	1	1.0	""	-9.087680605684055E-9	0.9999999968262312	TRUE
TRUE	dynamicQuality	Num	1	1.0	""	-3.6099700768012227E-9	0.9999999722104623	TRUE
TRUE	pushExposeNumLast7d	Num	1	1.0	""	4.4182089169750826E-8	0.9999999946277094	TRUE
