use	name	type	size	buckets	weight_fc	mean	stddev	normalize
TRUE	pushClickedNumByHourLast30d	Num	24	1.0	""	0.028232641443054977,0.015451023214799721,0.011125376366685095,0.01127843595940951,0.016781727882888852,0.031023123420859052,0.0487803206484244,0.12326894169571753,0.21274369600080414,0.20142528178956362,0.24733744842805513,0.22215229201028927,0.2468896920075479,0.1938979480876689,0.1513199676518831,0.16818050980266736,0.18132650124046804,0.20168571154434844,0.2019884040224975,0.27997569322288673,0.21251067990441772,0.1889886187628216,0.1523605444352558,0.07498777807729738	0.3414720859344186,0.29641334093043525,0.18484714553926304,0.19809953081904264,0.3643928356486802,0.40949273417688187,0.5165556736566257,0.9082190608604436,1.418093223470765,1.5374785433687963,1.4806264012951447,1.6734554866513112,1.6128746766966078,1.330005373707117,1.1740186821142178,1.3625411519288269,1.271987167506827,1.517949244970993,1.5878321621895215,1.43597816619621,1.428336792488212,1.5474160959335563,1.3176612276177624,0.8859604715719941	TRUE
TRUE	dayDecayWeight	Num	1	1.0	""	""	""	FALSE
TRUE	source	Cat	1	135.0	""	""	""	FALSE
TRUE	pushAllUserClickNumLast30d	Num	1	1.0	""	1.7464715556652336E10	6.507758640440552E7	TRUE
TRUE	userId	Cat	1	1.0	""	""	""	FALSE
TRUE	pornRank	Num	1	1.0	""	0.09449141768757731	0.1254671870364534	TRUE
TRUE	dynamicQuality	Num	1	1.0	""	0.011687555739429794	0.08640645457564945	TRUE
TRUE	dayOfWeek_category	Cat	1	1.0	""	""	""	FALSE
TRUE	lastVersion	Cat	1	137.0	""	""	""	FALSE
TRUE	pushSubCategoryCtr7day	Num	1	1.0	""	0.005471242745809364	0.0019392889641538518	TRUE
TRUE	feedClickSubCatList	Seq	10	1.0	""	""	""	FALSE
TRUE	pushExposeNumLast30d	Num	1	1.0	""	395.4284208063232	267.48036255268704	TRUE
TRUE	pushClickedNumByDayOfWeekLast28d	Num	7	1.0	""	0.0,0.48519478913646474,0.4768841347348497,0.5040370281860778,0.46574738226275697,0.45135413731483826,0.47737635375091103	1.0,2.7603506146930044,2.8053253827154605,2.838889376985909,2.686965080122354,2.7279425664562718,2.824399330997168	TRUE
TRUE	residentCountry	Cat	1	5.0	""	""	""	FALSE
TRUE	commentCount	Num	1	1.0	""	0.36178737344262873	1.9159778645370757	TRUE
TRUE	lastClickedHour	Cat	1	27.0	""	""	""	FALSE
TRUE	feedExposeByCatLast7d	Num	36	1.0	""	2.0169503897441188,1.0678541153066419,0.1127586331071789,1.2432803325453128,3.1339145025300035E-4,0.03110458807029701,0.8824451151324274,0.006820643737183311,1.820075350205213,0.17383395508769608,0.12605635790471537,0.0,0.7249396332152114,0.20272047137188567,0.7775202950162,0.0012204747783144795,0.732647894972987,0.0012837370275891535,0.659367825209325,0.2001208795593833,0.3029989225952316,0.36955178209756206,0.017660873466742062,3.893061493826091E-6,0.5741730407438084,0.14979624689406687,0.24151288262711576,3.8106959918012127,0.2706339558663084,0.3113028227615626,0.5377758355726547,0.034338748906293036,0.2481271941051263,0.02152960332623174,0.7471855598563071,0.5590397374519328	22.58130596660252,19.707726743641,2.612590636797453,16.11250021825208,0.03948511658168703,1.786054387632198,10.271510377113636,0.36271537563834566,20.548823138127535,4.50732918188883,1.9817419603200823,1.0,8.631666349070803,3.2115819315678786,9.362748223795489,0.09093584350078504,6.7807694852099,0.09334855070934327,11.144465369719674,3.5395253711073256,7.396761871661221,6.2841315441989885,4.6409501455209465,0.0024165228673188777,9.348976258039517,8.553584411167838,5.700149145367962,25.82098945835251,5.579065090828531,4.844769888687495,9.772463775549543,1.1665066294967525,3.497060573202908,1.0201922670740842,11.74190391835664,16.665788836158168	TRUE
TRUE	pushClickNumLast15d	Num	1	1.0	""	1.4886670631290873	9.359971828496507	TRUE
TRUE	residentProvince	Cat	1	35.0	""	""	""	FALSE
TRUE	gapDays	Num	1	1.0	""	9.424208007739342	68.22356585863889	TRUE
TRUE	residentCity	Cat	1	358.0	""	""	""	FALSE
TRUE	pushCtrLast15d	Num	1	1.0	""	0.006799919973901666	0.028207418438028	TRUE
TRUE	clickedPushAvgCountInLast7Days	Num	1	1.0	""	0.31843356824325014	1.4786829976537919	TRUE
TRUE	clickBaitScore	Num	1	1.0	""	0.5345959098234391	0.49695707148983775	TRUE
TRUE	cmsDocType	Cat	1	1.0	""	""	""	FALSE
TRUE	receivedPushAvgCountInLast7Days	Num	1	1.0	""	36.11234720930669	25.829963605926082	TRUE
TRUE	firstVersion	Cat	1	248.0	""	""	""	FALSE
TRUE	publishTimeDiffDays	Num	1	1.0	""	1.2269879923679443	8.085192939673313	TRUE
TRUE	age_dayOfMonth	Cat	1	1.0	""	""	""	FALSE
TRUE	clickedBrowserArticleAvgCount	Num	3	1.0	""	1.6526963625016717,1.591582900105368,1.5492058518369327	17.168333522871528,12.862465730581963,11.458900221249129	TRUE
TRUE	cmsCoPorn	Num	1	1.0	""	0.0	1.0	TRUE
TRUE	residentCityType	Cat	1	10.0	""	""	""	FALSE
TRUE	staticQuality	Num	1	1.0	""	0.3128881903640459	0.30680857914746407	TRUE
TRUE	appUsageEmbedding	Num	18	1.0	""	""	""	FALSE
TRUE	osVersion	Cat	1	18.0	""	""	""	FALSE
TRUE	age_cityType	Cat	1	1.0	""	""	""	FALSE
TRUE	pushAllUserExposeNumLast30d	Num	1	1.0	""	1.0050569232063884E8	1802027.3469554423	TRUE
TRUE	modelLevel	Cat	1	6.0	""	""	""	FALSE
TRUE	hotTopicRelevancy	Num	1	1.0	""	0.0	1.0	TRUE
TRUE	inactiveDays	Num	1	1.0	""	70.14365966876582	161.34395351433616	TRUE
TRUE	dayOfWeek_source	Cat	1	1.0	""	""	""	FALSE
TRUE	age_lastClickedArticleSubCategory	Cat	1	1.0	""	""	""	FALSE
TRUE	lastClickedArticleCategory	Cat	1	54.0	""	""	""	FALSE
TRUE	cityType	Cat	1	10.0	""	""	""	FALSE
TRUE	weekOfMonth_category	Cat	1	1.0	""	""	""	FALSE
TRUE	userEmbedding	Num	256	1.0	""	""	""	FALSE
TRUE	model	Cat	1	138.0	""	""	""	FALSE
TRUE	pushClickNumLast30d	Num	1	1.0	""	2.7721953443720064	17.47600016923963	TRUE
TRUE	downCount	Num	1	1.0	""	0.0	1.0	TRUE
TRUE	articleCategoryAttention	Cat	1	1.0	""	""	""	FALSE
TRUE	titleEditedVectorBert	Num	256	1.0	""	""	""	FALSE
TRUE	pushCtrLast30d	Num	1	1.0	""	0.006634379862681092	0.027053081647718767	TRUE
TRUE	imgNum	Num	1	1.0	""	0.8518130756759207	1.3946267448950855	TRUE
TRUE	lastDayDayOfWeek	Cat	1	10.0	""	""	""	FALSE
TRUE	lastDayDiffDays	Num	1	1.0	""	70.14365966876582	161.34395351433616	TRUE
TRUE	age_lastClickedArticleCategory	Cat	1	1.0	""	""	""	FALSE
TRUE	lastClickedArticleSubCategory	Cat	1	30.0	""	""	""	FALSE
TRUE	dayOfMonth	Cat	1	9.0	""	""	""	FALSE
TRUE	receivedMiPushAvgCountInLast7Days	Num	1	1.0	""	16.26482209636979	7.679300420548557	TRUE
TRUE	cmsBaitLevel	Num	1	1.0	""	0.0	1.0	TRUE
TRUE	rankedTags	Cat	1	234.0	""	""	""	FALSE
TRUE	age_source_sex	Cat	1	1.0	""	""	""	FALSE
TRUE	active	Num	17	1.0	""	0.014777238375647164,0.016050471144473968,0.04040952141878194,0.017273183043407837,0.016434730151031834,0.08547550082476431,0.004806550818186694,0.006039318458225556,0.00548208583136241,0.0206259378079708,0.02010614263170314,0.03062611591517093,0.06192434504494168,0.02260621856149925,0.023111153912016454,0.009340317463341158,8.626647710627006E-4	0.04190921448214227,0.05584325033790378,0.09537555663111288,0.050931907804636356,0.05100076540530144,0.0994878633362358,0.02673509406039452,0.02553289173193583,0.020777030140491683,0.04765254689021437,0.10478913391136892,0.08798847873231919,0.12334585227415452,0.07532266014572533,0.04464202770667705,0.032163421515864474,0.01102697711962571	TRUE
TRUE	clickedMiPushAvgCountInLast7Days	Num	1	1.0	""	0.11892965754090683	0.7389044459817738	TRUE
TRUE	lastClickedArticleId	Cat	1	48.0	""	""	""	FALSE
TRUE	newsRank	Num	1	1.0	""	0.0	1.0	TRUE
TRUE	hotHeat	Num	1	1.0	""	0.0	1.0	TRUE
TRUE	age_lastClickedHour	Cat	1	1.0	""	""	""	FALSE
TRUE	superstitionLevel	Num	1	1.0	""	0.0	1.0	TRUE
TRUE	age_subCategory	Cat	1	1.0	""	""	""	FALSE
TRUE	pushCtrLast7d	Num	1	1.0	""	0.007269480845123327	0.030245747390121997	TRUE
TRUE	sex	Cat	1	6.0	""	""	""	FALSE
TRUE	pushClickedDayNumLast15d	Num	1	1.0	""	0.9101494687989315	1.6635814824448567	TRUE
TRUE	upCount	Num	1	1.0	""	0.32976363009131276	2.1158338967463237	TRUE
TRUE	weekOfMonth	Cat	1	4.0	""	""	""	FALSE
TRUE	freshness	Num	1	1.0	""	5.090241835066732	5.282433146693573	TRUE
TRUE	hour	Cat	1	1.0	""	""	""	FALSE
TRUE	pushExposeNumLast15d	Num	1	1.0	""	218.1702534800676	119.68548125738263	TRUE
TRUE	dayOfWeek	Cat	1	9.0	""	""	""	FALSE
TRUE	age_sex	Cat	1	1.0	""	""	""	FALSE
TRUE	country	Cat	1	5.0	""	""	""	FALSE
TRUE	age_model	Cat	1	1.0	""	""	""	FALSE
TRUE	pushClickNumLast7d	Num	1	1.0	""	0.7802223210809182	4.895855371787533	TRUE
TRUE	firstDayDiffDays	Num	1	1.0	""	524.6300617168056	516.3212567171688	TRUE
TRUE	pushClickedDayNumLast30d	Num	1	1.0	""	1.7033986324821107	2.898138530116135	TRUE
TRUE	label	Num	1	1.0	""	""	""	FALSE
TRUE	province	Cat	1	35.0	""	""	""	FALSE
TRUE	politicalSensitive	Num	1	1.0	""	0.24823603510449682	1.1501404991982893	TRUE
TRUE	feedCtrByCatLast7d	Num	36	1.0	""	0.03610044415239067,0.010760009995667367,0.0024538371668289707,0.00920617886134413,9.631657187908843E-5,0.0013224107729895738,0.00961615507634972,8.026545605709964E-5,0.015526295103507434,0.005157084891403889,0.003542366949047398,0.0,0.013906235679991828,0.004093890659919745,0.013846146940024532,2.4571792259080183E-4,0.009721244681664062,2.028933229477287E-4,0.00845443403642871,0.0035684935153928294,0.007576688055920199,0.005758599342243147,5.147800123964507E-4,0.0,0.008304792907651435,0.0032265039967115904,0.006154965920783822,0.019938361282023826,0.0047404574623124834,0.00666045727921181,0.006781617150239334,7.18820999708953E-4,0.006539347303940395,0.0014768657374867248,0.0060659954914760545,0.006732846346240311	0.278048489979262,0.38424562022403214,0.045300965506227434,0.07944263019345228,0.012818673055941227,0.036617433237935086,0.1794370581431474,0.0083884993476378,0.1035380011083108,0.07082524903135994,0.05362741256713001,1.0,0.11438523858997447,0.057024786391955205,0.12999087962322256,0.017995608118560952,0.08676631091082093,0.015420479745057836,0.08703159526864625,0.05141079947395604,0.08078707523926616,0.06777096836223839,0.020704540099909515,1.0,0.09371656998613559,0.053716019450937666,0.07409132974524099,0.12394360277019573,0.06526035748156427,0.07611684456871877,0.07256791733362249,0.023555425454303447,0.07761271762227313,0.04258390332654545,0.07252912193471703,0.07946591291060114	TRUE
TRUE	pushAllUserCtrLast30d	Num	1	1.0	""	0.005754498031228485	8.292625476256492E-5	TRUE
TRUE	weekOfMonth_source	Cat	1	1.0	""	""	""	FALSE
TRUE	district	Cat	1	3.0	""	""	""	FALSE
TRUE	pushClickedDayNumLast7d	Num	1	1.0	""	0.46685299783857076	0.9522321698877398	TRUE
TRUE	pushClickedNumByHourLast1d	Num	24	1.0	""	0.013226800379582225,0.008048549035228511,0.005365699356819007,0.0048619328233185325,0.0070175849666694,0.014281195449699498,0.021708822943636727,0.05590636971777359,0.09325538620148319,0.10317841536136463,0.1169792752791218,0.10372904389798142,0.119908150473892,0.08846374638283913,0.06618086390102745,0.08684700727532599,0.10437339644083087,0.11085206837166255,0.1171081457876917,0.1309675832093443,0.10015581616036177,0.09387630774277446,0.06875827407242523,0.03929378961303701	0.14998269665930095,0.14118716026230754,0.09556588238185564,0.09614276372612628,0.12056833032008167,0.17625289495182198,0.2041319952681779,0.28073762415255726,0.37547612783832013,0.42972722922836026,0.4568262408764113,0.43508205485592155,0.45729759869344583,0.3838589580131328,0.36043917755928084,0.39410226245099267,0.4281544092629318,0.46483641372605067,0.5069620155393376,0.6959419352402922,0.43641540834083326,1.2594493541577518,0.3539501089390151,0.35869706036547755	TRUE
TRUE	textAdScore	Num	1	1.0	""	0.00806136492797055	0.08930242131231748	TRUE
TRUE	clickedBrowserPushAvgCount	Num	3	1.0	""	0.13226760597271298,0.12458823795075837,0.11153408977845994	0.9414965329552195,0.7835295065401207,0.6996334018153356	TRUE
TRUE	pushCategoryCtr7day	Num	1	1.0	""	0.02513050975917058	0.0061282725550984235	TRUE
TRUE	feedClickByCatLast7d	Num	36	1.0	""	0.3801477222183832,0.13244584508145746,0.012854889052613753,0.1409356389341187,1.839471555832828E-4,0.005956384085553919,0.08731650297965195,3.727606380338482E-4,0.2130487635150063,0.05355879350131245,0.013656859720341927,0.0,0.11445503465311362,0.018932931309849736,0.23163034602503824,5.956384085553919E-4,0.06514843756843272,4.866326867282614E-4,0.05974973454186939,0.01753045590669889,0.03272507491710212,0.038893630854069564,0.0020672156532216546,0.0,0.0685334545373145,0.022698495039753023,0.07505141274335284,0.34203562345919925,0.04323147462356529,0.048407299879607076,0.07338712895474218,0.0029343951009714164,0.0328486796195311,0.011451440384089446,0.061495772621850395,0.056893200670774496	10.219719894017866,2.624449639381868,0.5793115738925985,1.889929472956971,0.02854102440066532,0.8692462410165704,1.180721051174544,0.0724881087823833,2.992579791739351,1.5915389774569546,0.3456566658754351,1.0,1.663146759828617,0.4005444368266717,4.862862024799617,0.06119455871730622,0.7528600658588087,0.053106393078374545,0.9824205614025565,0.31207235713655024,0.8272885697858819,0.6888595021654624,0.1849697919081861,1.0,1.2037680169133051,1.8115680300802202,2.3290237169505272,2.8926036777950537,0.9900851887585306,1.1149508824990193,2.1919958676021976,0.13740294321044477,1.0491658362721352,0.6178665740294714,0.9421359970506686,1.9391649399506146	TRUE
TRUE	age_dayOfWeek	Cat	1	1.0	""	""	""	FALSE
TRUE	docType	Cat	1	1.0	""	""	""	FALSE
TRUE	dayOfWeek_subCategory	Cat	1	1.0	""	""	""	FALSE
TRUE	feedClickCatList	Seq	10	1.0	""	""	""	FALSE
TRUE	residentDistrict	Cat	1	2225.0	""	""	""	FALSE
TRUE	weekOfMonth_subCategory	Cat	1	1.0	""	""	""	FALSE
TRUE	city	Cat	1	3.0	""	""	""	FALSE
TRUE	subCategory	Cat	1	89.0	""	""	""	FALSE
TRUE	pushSourceCtr7day	Num	1	1.0	""	0.003752054684570613	0.001528881009796095	TRUE
TRUE	pushAvgCtrInLast7Days	Num	1	1.0	""	0.007770728346864515	0.023340144637426726	TRUE
TRUE	category	Cat	1	34.0	""	""	""	FALSE
TRUE	age	Cat	1	12.0	""	""	""	FALSE
